algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,12,2,0.2865823799977079,1.5416666666666663,0.23963963963963958,1.222222222222222
PCK,12,2,1.7280214999977033,2.1222222222222222,0.1608649912867094,1.222222222222222
Ranking,12,2,1.3461012800005847,1.5527777777777776,0.2399757740934211,1.222222222222222
ACO,12,3,0.28815554000175325,3.916666666666665,0.09219858156028357,2.8888888888888884
PCK,12,3,1.3263071700013824,4.775,0.14609287493706094,2.8888888888888884
Ranking,12,3,0.9529709400012507,4.424999999999999,0.11403563941299784,2.8888888888888884
ACO,12,4,0.3094021299984888,6.375,0.06318082788671031,5.013888888888888
PCK,12,4,1.3210104700003285,7.416666666666667,0.19252595807783163,5.013888888888888
Ranking,12,4,0.7968458099989221,7.083333333333333,0.08478724754028406,5.013888888888888
