algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,216,2,20.241980679993866,10.383333333333335,0.3006800932884584,7.166666666666666
PCK,216,2,213.86708081999677,27.019444444444446,0.24099754106377,7.166666666666666
Ranking,216,2,23.49525843000156,11.11111111111111,0.2678632791729681,7.166666666666666
ACO,216,3,23.740297180000926,37.7,0.21084862823214362,22.277777777777775
PCK,216,3,97.96393615999841,65.30555555555554,0.1427048058194377,22.277777777777775
Ranking,216,3,18.757574739999836,37.6,0.15039068670465888,22.277777777777775
ACO,216,4,28.314541909997935,67.26944444444443,0.1355894180843458,43.86111111111111
PCK,216,4,89.64634683999466,105.02222222222224,0.11865218559746646,43.86111111111111
Ranking,216,4,192.98083055999888,71.00833333333331,0.11491500501686569,43.86111111111111
