algorithm,n_members,group_size,time,distance,groups,group_distances,gini-index
PCK,96,2,186.57709639999666,12.402777777777775,"[[0, 56], [51, 95], [64, 78], [18, 75], [22, 30], [41, 52], [5, 87], [1, 94], [2, 26], [4, 68], [83, 43], [19, 37], [63, 73], [20, 89], [24, 69], [60, 84], [74, 80], [3, 77], [23, 33], [13, 42], [11, 88], [48, 59], [40, 53], [10, 58], [46, 90], [57, 86], [6, 76], [16, 93], [67, 79], [62, 81], [36, 38], [12, 47], [7, 44], [8, 85], [28, 55], [92, 72], [31, 70], [32, 91], [49, 61], [45, 65], [9, 25], [17, 50], [21, 82], [29, 71], [27, 39], [15, 54], [14, 35], [34, 66]]","[0.33333333 0.5        0.08333333 0.18055556 0.22222222 0.23611111
 0.13888889 0.22222222 0.33333333 0.125      0.16666667 0.34722222
 0.25       0.125      0.29166667 0.30555556 0.16666667 0.41666667
 0.22222222 0.30555556 0.25       0.25       0.33333333 0.125
 0.08333333 0.625      0.20833333 0.20833333 0.29166667 0.18055556
 0.20833333 0.38888889 0.20833333 0.20833333 0.16666667 0.43055556
 0.23611111 0.33333333 0.26388889 0.47222222 0.09722222 0.125
 0.09722222 0.34722222 0.375      0.33333333 0.31944444 0.26388889]",0.25043482404517386
PCK,96,2,186.26142100000288,12.819444444444446,"[[46, 90], [6, 54], [14, 16], [0, 33], [11, 18], [1, 95], [50, 94], [2, 69], [28, 73], [26, 70], [13, 43], [10, 58], [22, 49], [3, 15], [27, 30], [78, 80], [52, 66], [34, 41], [5, 87], [77, 51], [84, 89], [60, 74], [17, 24], [4, 35], [19, 56], [75, 83], [37, 63], [57, 64], [67, 82], [71, 88], [23, 39], [7, 48], [44, 47], [40, 68], [62, 81], [12, 65], [32, 72], [59, 86], [38, 61], [42, 53], [92, 36], [8, 85], [20, 55], [31, 45], [21, 29], [9, 25], [79, 91], [76, 93]]","[0.08333333 0.29166667 0.125      0.16666667 0.45833333 0.54166667
 0.26388889 0.20833333 0.33333333 0.33333333 0.33333333 0.125
 0.22222222 0.38888889 0.16666667 0.22222222 0.09722222 0.20833333
 0.13888889 0.65277778 0.33333333 0.34722222 0.25       0.18055556
 0.29166667 0.43055556 0.34722222 0.20833333 0.31944444 0.44444444
 0.20833333 0.18055556 0.34722222 0.26388889 0.18055556 0.08333333
 0.29166667 0.26388889 0.43055556 0.26388889 0.08333333 0.20833333
 0.125      0.27777778 0.34722222 0.09722222 0.38888889 0.26388889]",0.2600908231714343
PCK,96,2,186.59367219998967,11.347222222222225,"[[18, 75], [56, 78], [45, 69], [51, 88], [32, 52], [44, 89], [74, 77], [84, 92], [24, 55], [59, 95], [13, 60], [79, 93], [67, 76], [3, 25], [0, 16], [35, 68], [17, 38], [4, 82], [36, 50], [2, 40], [5, 87], [22, 64], [34, 29], [80, 94], [6, 66], [15, 49], [30, 54], [33, 41], [14, 27], [62, 81], [7, 58], [23, 90], [42, 48], [11, 86], [47, 83], [12, 28], [37, 43], [39, 70], [63, 73], [19, 26], [1, 85], [72, 91], [20, 61], [65, 71], [9, 21], [57, 8], [10, 53], [31, 46]]","[0.18055556 0.5        0.33333333 0.33333333 0.08333333 0.22222222
 0.34722222 0.16666667 0.33333333 0.18055556 0.08333333 0.26388889
 0.29166667 0.16666667 0.20833333 0.30555556 0.04166667 0.125
 0.20833333 0.43055556 0.13888889 0.19444444 0.22222222 0.26388889
 0.16666667 0.29166667 0.125      0.16666667 0.30555556 0.18055556
 0.125      0.29166667 0.19444444 0.33333333 0.18055556 0.09722222
 0.20833333 0.27777778 0.25       0.33333333 0.375      0.29166667
 0.26388889 0.33333333 0.22222222 0.33333333 0.25       0.125     ]",0.23065704836063453
PCK,96,2,185.62667590001365,12.958333333333332,"[[58, 77], [31, 46], [0, 53], [1, 50], [29, 72], [25, 41], [32, 91], [36, 38], [13, 81], [40, 44], [30, 84], [15, 93], [14, 49], [17, 89], [3, 66], [63, 73], [12, 28], [10, 88], [2, 70], [4, 82], [68, 94], [20, 26], [19, 69], [85, 92], [24, 61], [60, 65], [5, 55], [21, 22], [27, 80], [35, 54], [18, 39], [6, 9], [7, 56], [75, 78], [43, 59], [51, 64], [37, 95], [42, 45], [8, 83], [57, 62], [11, 86], [67, 71], [47, 74], [23, 90], [76, 87], [33, 79], [48, 52], [16, 34]]","[0.16666667 0.125      0.36111111 0.375      0.18055556 0.23611111
 0.33333333 0.20833333 0.22222222 0.45833333 0.23611111 0.26388889
 0.30555556 0.25       0.26388889 0.25       0.09722222 0.36111111
 0.25       0.125      0.30555556 0.20833333 0.20833333 0.375
 0.22222222 0.20833333 0.18055556 0.16666667 0.33333333 0.30555556
 0.13888889 0.19444444 0.19444444 0.47222222 0.30555556 0.33333333
 0.27777778 0.29166667 0.38888889 0.45833333 0.33333333 0.38888889
 0.33333333 0.29166667 0.31944444 0.18055556 0.30555556 0.16666667]",0.19317689448359215
PCK,96,2,188.04752349999035,13.736111111111112,"[[41, 95], [64, 78], [26, 56], [1, 28], [70, 51], [35, 84], [33, 34], [87, 94], [15, 54], [27, 30], [2, 19], [12, 43], [10, 37], [63, 73], [53, 71], [68, 92], [31, 45], [4, 61], [8, 58], [25, 85], [5, 40], [49, 72], [42, 44], [32, 66], [13, 75], [17, 38], [59, 0], [29, 76], [65, 91], [67, 90], [79, 93], [6, 21], [14, 16], [18, 81], [60, 80], [24, 69], [3, 77], [22, 52], [7, 74], [20, 89], [46, 88], [55, 82], [9, 11], [36, 50], [57, 62], [47, 83], [48, 86], [23, 39]]","[0.25       0.08333333 0.54166667 0.16666667 0.45833333 0.22222222
 0.29166667 0.34722222 0.33333333 0.16666667 0.5        0.375
 0.16666667 0.25       0.41666667 0.16666667 0.27777778 0.18055556
 0.13888889 0.34722222 0.25       0.30555556 0.13888889 0.26388889
 0.34722222 0.04166667 0.34722222 0.25       0.54166667 0.375
 0.26388889 0.30555556 0.125      0.22222222 0.18055556 0.29166667
 0.41666667 0.375      0.13888889 0.125      0.51388889 0.25
 0.41666667 0.20833333 0.45833333 0.18055556 0.51388889 0.20833333]",0.2565023772131747
PCK,96,2,186.6113045999955,12.70833333333333,"[[0, 52], [50, 87], [18, 75], [33, 66], [34, 93], [14, 27], [39, 84], [15, 49], [22, 89], [41, 54], [24, 77], [78, 80], [35, 60], [3, 32], [17, 38], [11, 81], [36, 71], [30, 72], [4, 23], [40, 58], [68, 86], [13, 37], [44, 47], [5, 62], [48, 59], [6, 21], [79, 91], [16, 67], [29, 76], [7, 95], [46, 56], [51, 83], [69, 74], [19, 88], [8, 43], [70, 82], [2, 26], [12, 28], [63, 73], [94, 25], [20, 55], [9, 61], [1, 45], [64, 65], [42, 85], [57, 92], [10, 31], [53, 90]]","[0.23611111 0.16666667 0.18055556 0.22222222 0.125      0.30555556
 0.27777778 0.29166667 0.43055556 0.26388889 0.47222222 0.22222222
 0.16666667 0.25       0.04166667 0.34722222 0.18055556 0.13888889
 0.27777778 0.20833333 0.45833333 0.20833333 0.34722222 0.36111111
 0.25       0.30555556 0.38888889 0.26388889 0.25       0.19444444
 0.26388889 0.31944444 0.44444444 0.29166667 0.22222222 0.25
 0.33333333 0.09722222 0.25       0.25       0.125      0.34722222
 0.20833333 0.19444444 0.29166667 0.5        0.13888889 0.34722222]",0.2131612603185676
PCK,96,2,186.98831830002018,12.791666666666668,"[[0, 16], [79, 93], [23, 85], [67, 76], [62, 81], [50, 72], [38, 65], [20, 47], [1, 36], [22, 87], [35, 77], [52, 41], [3, 94], [13, 57], [59, 86], [11, 44], [2, 90], [45, 71], [4, 48], [58, 40], [29, 66], [61, 64], [5, 32], [25, 49], [21, 82], [17, 91], [33, 34], [27, 30], [15, 54], [6, 39], [60, 80], [24, 69], [18, 78], [7, 56], [74, 75], [70, 92], [43, 53], [8, 55], [31, 88], [46, 68], [28, 42], [83, 95], [84, 89], [9, 14], [10, 37], [19, 26], [63, 73], [12, 51]]","[0.20833333 0.26388889 0.44444444 0.29166667 0.18055556 0.30555556
 0.38888889 0.27777778 0.08333333 0.30555556 0.25       0.23611111
 0.33333333 0.52777778 0.26388889 0.40277778 0.27777778 0.38888889
 0.31944444 0.20833333 0.29166667 0.23611111 0.125      0.18055556
 0.09722222 0.22222222 0.29166667 0.16666667 0.33333333 0.20833333
 0.18055556 0.29166667 0.375      0.19444444 0.16666667 0.16666667
 0.20833333 0.33333333 0.13888889 0.27777778 0.33333333 0.31944444
 0.33333333 0.25       0.16666667 0.33333333 0.25       0.36111111]",0.1938919306027216
PCK,96,2,160.56807559999288,12.736111111111102,"[[0, 48], [11, 86], [33, 34], [27, 54], [22, 64], [82, 87], [5, 94], [49, 56], [42, 51], [18, 23], [75, 95], [71, 84], [3, 52], [24, 77], [74, 90], [89, 92], [50, 60], [4, 68], [9, 31], [45, 85], [20, 55], [21, 25], [67, 76], [41, 91], [29, 72], [30, 79], [16, 93], [14, 57], [61, 69], [65, 78], [6, 59], [15, 66], [39, 80], [35, 46], [8, 13], [70, 1], [40, 43], [26, 53], [10, 58], [36, 62], [17, 38], [2, 44], [32, 81], [7, 47], [37, 63], [12, 28], [19, 88], [73, 83]]","[0.43055556 0.33333333 0.29166667 0.375      0.19444444 0.20833333
 0.125      0.38888889 0.45833333 0.09722222 0.30555556 0.09722222
 0.41666667 0.47222222 0.20833333 0.33333333 0.18055556 0.125
 0.44444444 0.25       0.125      0.375      0.29166667 0.23611111
 0.18055556 0.125      0.20833333 0.375      0.26388889 0.27777778
 0.375      0.29166667 0.29166667 0.30555556 0.22222222 0.16666667
 0.29166667 0.26388889 0.125      0.29166667 0.04166667 0.38888889
 0.30555556 0.22222222 0.34722222 0.09722222 0.29166667 0.22222222]",0.23418176755841208
PCK,96,2,99.47957860000315,12.486111111111105,"[[29, 71], [47, 90], [62, 64], [11, 86], [21, 54], [14, 79], [33, 48], [72, 91], [67, 76], [24, 69], [20, 89], [77, 93], [60, 84], [3, 25], [23, 36], [17, 38], [40, 61], [32, 50], [44, 81], [4, 68], [45, 73], [63, 70], [19, 37], [2, 26], [12, 28], [22, 94], [34, 41], [13, 43], [15, 27], [52, 66], [5, 87], [0, 16], [30, 80], [6, 49], [51, 95], [56, 83], [7, 74], [1, 65], [42, 92], [9, 55], [8, 85], [18, 75], [39, 78], [35, 59], [57, 88], [53, 82], [10, 58], [31, 46]]","[0.34722222 0.375      0.16666667 0.33333333 0.18055556 0.18055556
 0.34722222 0.29166667 0.29166667 0.29166667 0.125      0.31944444
 0.30555556 0.16666667 0.23611111 0.04166667 0.29166667 0.34722222
 0.22222222 0.125      0.125      0.16666667 0.34722222 0.33333333
 0.09722222 0.29166667 0.20833333 0.33333333 0.45833333 0.09722222
 0.13888889 0.20833333 0.33333333 0.16666667 0.5        0.31944444
 0.13888889 0.34722222 0.41666667 0.29166667 0.20833333 0.18055556
 0.34722222 0.47222222 0.375      0.34722222 0.125      0.125     ]",0.24137931034482746
PCK,96,2,138.3136957999959,13.263888888888895,"[[18, 75], [35, 56], [42, 69], [45, 51], [37, 78], [4, 61], [2, 58], [14, 25], [23, 46], [57, 71], [16, 93], [3, 21], [67, 76], [79, 91], [52, 74], [24, 77], [84, 89], [22, 94], [43, 80], [5, 10], [49, 87], [34, 41], [27, 33], [30, 54], [39, 60], [6, 66], [0, 15], [17, 38], [59, 81], [36, 50], [32, 72], [40, 44], [13, 62], [8, 55], [28, 92], [65, 95], [31, 53], [1, 85], [29, 82], [20, 26], [9, 73], [19, 68], [12, 70], [63, 88], [83, 90], [48, 7], [47, 64], [11, 86]]","[0.18055556 0.31944444 0.20833333 0.33333333 0.36111111 0.18055556
 0.22222222 0.40277778 0.375      0.40277778 0.20833333 0.20833333
 0.29166667 0.38888889 0.43055556 0.47222222 0.33333333 0.29166667
 0.34722222 0.25       0.19444444 0.20833333 0.30555556 0.125
 0.13888889 0.16666667 0.18055556 0.04166667 0.16666667 0.20833333
 0.29166667 0.45833333 0.40277778 0.33333333 0.16666667 0.27777778
 0.38888889 0.375      0.44444444 0.20833333 0.20833333 0.33333333
 0.18055556 0.29166667 0.13888889 0.18055556 0.30555556 0.33333333]",0.21229809513200398
