algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,84,2,4.260871819997556,5.416666666666666,0.22776531778208603,3.736111111111111
PCK,84,2,147.23339569000527,11.258333333333335,0.2367348588801066,3.736111111111111
Ranking,84,2,8.967330579999544,5.686111111111111,0.2297798375594804,3.736111111111111
ACO,84,3,4.657986289997643,17.12222222222222,0.187412994180921,10.916666666666666
PCK,84,3,22.62291071999789,26.738888888888887,0.1491711046635378,10.916666666666666
Ranking,84,3,6.218084919998364,16.15277777777778,0.14083707670621606,10.916666666666666
ACO,84,4,5.51730869999883,29.55833333333333,0.12200342131584947,20.680555555555554
PCK,84,4,28.644882099999812,43.261111111111106,0.11333293270720882,20.680555555555554
Ranking,84,4,8.351626049996412,28.577777777777776,0.10454788983444466,20.680555555555554
