algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,36,2,1.2387014799984173,2.805555555555556,0.24437973209085612,1.9444444444444444
PCK,36,2,23.871713009999077,5.227777777777777,0.23087428448630756,1.9444444444444444
Ranking,36,2,4.07940346999967,2.9027777777777777,0.19658536771041546,1.9444444444444444
ACO,36,3,1.3645016400012537,8.069444444444445,0.18222062976471187,5.472222222222221
PCK,36,3,3.4093307100018135,13.002777777777776,0.1537024342635181,5.472222222222221
Ranking,36,3,2.707957610001904,7.949999999999998,0.11460498541374983,5.472222222222221
ACO,36,4,1.4887582000010298,13.569444444444443,0.13050732734197523,10.166666666666666
PCK,36,4,3.433518050002749,19.15,0.10992790704372965,10.166666666666666
Ranking,36,4,2.183716779999668,14.416666666666666,0.13652725517543723,10.166666666666666
