algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,84,2,8.651036860002204,5.25,0.25849869371492773,3.736111111111111
PCK,84,2,178.82925665998482,11.202777777777776,0.23992383318822713,3.736111111111111
Ranking,84,2,18.549148310004966,5.583333333333332,0.23387725960559497,3.736111111111111
ACO,84,3,10.283114969998133,15.333333333333334,0.16344526910650714,10.916666666666664
PCK,84,3,96.73991143999737,26.030555555555555,0.13580826304458013,10.916666666666664
Ranking,84,3,11.769174840004416,15.627777777777776,0.14286408945897563,10.916666666666664
ACO,84,4,12.568804779986385,27.4,0.1179918672957746,20.680555555555557
PCK,84,4,78.66223849999369,43.34444444444445,0.10156467877178285,20.680555555555557
Ranking,84,4,15.912093959987397,27.40833333333333,0.09426895838059063,20.680555555555557
