algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,60,2,2.5819079100037925,4.45,0.2704433190307949,3.013888888888889
PCK,60,2,217.79763049000175,8.072222222222221,0.23173372422000543,3.013888888888889
Ranking,60,2,6.442610429998604,4.747222222222222,0.22569005680111798,3.013888888888889
ACO,60,3,2.912358939999831,12.830555555555554,0.18782612117047998,7.888888888888888
PCK,60,3,51.65889961000066,20.01111111111111,0.17311364270224816,7.888888888888888
Ranking,60,3,4.674706580006751,13.469444444444443,0.17985793060017302,7.888888888888888
ACO,60,4,3.3917927300004522,22.441666666666663,0.13434888169605824,14.597222222222221
PCK,60,4,10.904671560006681,31.608333333333338,0.13658135932830412,14.597222222222221
Ranking,60,4,4.449080879997927,24.34722222222222,0.1369594458678275,14.597222222222221
