algorithm,n_members,group_size,average_time,average_distance,average_gini-index,lower_bound_distance
ACO,60,2,2.597856150000007,4.441666666666666,0.2730884801595975,3.013888888888889
PCK,60,2,113.63136276000004,8.119444444444444,0.22906648844660835,3.013888888888889
Ranking,60,2,6.485242330000619,4.694444444444444,0.23202140122287326,3.013888888888889
ACO,60,3,2.8685819700040156,12.777777777777779,0.18373421300319012,7.888888888888888
PCK,60,3,51.11015565000125,19.9,0.17528171116639796,7.888888888888888
Ranking,60,3,4.394517979999364,13.17222222222222,0.1875963585145836,7.888888888888888
ACO,60,4,3.2553650899993953,22.330555555555556,0.13378583142982114,14.597222222222221
PCK,60,4,10.592242879996775,31.747222222222216,0.13569537691911376,14.597222222222221
Ranking,60,4,4.350186129999929,24.22222222222222,0.1420238274796219,14.597222222222221
